,employeeID,degree,location,technicalSkills,previousJobs,appliedJobs,searchedJobs,network
10,10,Cyber Security,Houston,"['HTML/CSS', 'Swift', 'Java', 'Bash', 'Python', 'Javascript', 'MacOS', 'Linux', 'Spring']",[16],"[378, 672, 145, 681, 1296, 753, 1853]","[378, 672, 145, 681, 1296, 753, 1853]",[]
11,11,Information Science,Boston,"['Angular', 'Node.js', 'SQL', 'Java', 'C', 'React', 'C++', 'Ruby', 'R', 'Linux', 'MacOS', 'Scikit-learn', 'Azure', 'Javascript', 'Python']","[418, 89, 203]","[1778, 486, 1366, 115, 1836, 676, 1060]","[1778, 486, 1366, 115, 1836, 676, 1060]","[336, 17, 478, 464]"
12,12,Computer Science,Boston,"['Angular', 'React', 'HTML/CSS', 'R', 'Swift', 'Bash', 'Scala', 'Java', 'C', 'Python', 'Ruby', 'Node.js', 'Javascript', 'C++', 'SQL', 'Windows', 'Linux', 'MySQLWorkbench', 'Azure', 'NumPy', 'AWS']",[],"[402, 1516, 151, 1905, 1496, 110, 1335]","[402, 1516, 151, 1905, 1496, 110, 1335]",[]
13,13,Data Science,NYC,"['C++', 'Java', 'R', 'SQL', 'C', 'Javascript', 'React', 'Swift', 'Node.js', 'Angular', 'HTML/CSS', 'Python', 'Bash', 'Windows']","[834, 182, 1785, 1523]","[488, 131, 1111, 1975]","[488, 131, 1111, 1975]","[82, 298]"
14,14,Information Science,NYC,"['SQL', 'Bash', 'Java', 'Python', 'C++', 'Angular', 'HTML/CSS', 'Swift', 'Javascript', 'C', 'React', 'Node.js', 'MacOS', 'Linux', 'Spring', 'Oracle']",[],"[810, 99, 1946, 1251, 699, 1083, 911, 1819]","[810, 99, 1946, 1251, 699, 1083, 911, 1819]",[]
15,15,Data Science,Seattle,"['R', 'C++', 'Scala', 'Linux', 'Windows', 'MacOS', 'Oracle', 'Spring', 'MySQLWorkbench', 'PostGres', 'Azure', 'Java', 'SQL']","[1204, 265]","[1646, 675, 1214, 425, 1992, 453]","[1646, 675, 1214, 425, 1992, 453]",[]
16,16,Information Science,Boston,"['Ruby', 'HTML/CSS', 'Linux', 'Windows', 'NumPy', 'Scikit-learn', 'PostGres', 'AWS', 'Python', 'SQL']","[1825, 1078, 64, 1696]","[1297, 401, 1860, 1157, 1498, 1971, 1013, 1407, 717]","[1297, 401, 1860, 1157, 1498, 1971, 1013, 1407, 717]","[116, 214, 415]"
17,17,Data Science,Boston,"['C', 'SQL', 'R', 'Swift', 'Node.js', 'Javascript', 'C++', 'Bash', 'React', 'Linux', 'Windows', 'NumPy', 'Scikit-learn', 'MySQLWorkbench', 'Oracle', 'Python']","[1838, 706, 89]","[643, 1653, 1141, 342, 919, 280, 1134, 816, 1754]","[643, 1653, 1141, 342, 919, 280, 1134, 816, 1754]","[478, 11, 261, 358]"
18,18,Data Science,Boston,"['Angular', 'Linux', 'MySQLWorkbench', 'AWS', 'Azure', 'Scikit-learn', 'PostGres', 'Python', 'SQL']","[1955, 501, 1354]","[1270, 545, 1800, 593, 1271, 1879]","[1270, 545, 1800, 593, 1271, 1879]","[253, 391]"
19,19,Data Science,NYC,"['Scala', 'Python', 'Ruby', 'Javascript', 'Angular', 'React', 'MacOS', 'Linux', 'Windows', 'Scikit-learn', 'Spring', 'Java']","[850, 1552, 1185]","[1329, 1697, 1450, 1867, 1247, 1989, 366, 1568, 609]","[1329, 1697, 1450, 1867, 1247, 1989, 366, 1568, 609]","[98, 452, 149, 344, 30]"
20,20,Data Science,Houston,"['R', 'Swift', 'Python', 'Bash', 'C', 'Javascript', 'Linux', 'MacOS', 'Windows', 'MySQLWorkbench', 'NumPy', 'Oracle', 'Spring', 'Java', 'SQL']","[1162, 1989, 1505, 1249]","[733, 976, 1158, 1749, 27, 1863, 1744, 983, 755, 1491]","[733, 976, 1158, 1749, 27, 1863, 1744, 983, 755, 1491]","[341, 327]"
21,21,Information Science,Houston,"['HTML/CSS', 'Swift', 'React', 'SQL', 'Angular', 'Java', 'C', 'C++', 'R', 'Bash', 'MacOS', 'Windows', 'Linux', 'Javascript']",[],"[1132, 1360, 1064, 1184, 197, 480, 444, 112, 660]","[1132, 1360, 1064, 1184, 197, 480, 444, 112, 660]",[]
22,22,Information Science,Seattle,"['Javascript', 'Bash', 'Python', 'Node.js', 'Swift', 'Scala', 'SQL', 'Java', 'C', 'Angular', 'React', 'HTML/CSS', 'C++', 'Ruby', 'R', 'MacOS', 'Windows', 'Linux', 'Azure', 'NumPy', 'Oracle', 'MySQLWorkbench', 'PostGres', 'AWS', 'Scikit-learn']","[1470, 1957]","[855, 964, 324, 979, 679, 1918, 1076, 1253, 1202, 530]","[855, 964, 324, 979, 679, 1918, 1076, 1253, 1202, 530]",[]
23,23,Cyber Security,Seattle,"['Scala', 'R', 'Bash', 'Node.js', 'HTML/CSS', 'Java', 'C++', 'SQL', 'Angular', 'C', 'Python', 'React', 'Swift', 'Ruby', 'Linux', 'MacOS', 'Windows', 'Javascript']","[121, 1977]","[884, 261, 1971, 1942, 1159, 209, 1560]","[884, 261, 1971, 1942, 1159, 209, 1560]",[36]
24,24,Data Science,Houston,"['Swift', 'SQL', 'R', 'React', 'Linux', 'Windows', 'MacOS', 'PostGres', 'Javascript']","[329, 1013, 1739, 1926]","[1943, 1980, 1692, 1459, 1167, 500, 1447, 1593]","[1943, 1980, 1692, 1459, 1167, 500, 1447, 1593]","[168, 298]"
25,25,Cyber Security,San Francisco,"['Swift', 'Scala', 'SQL', 'C++', 'Python', 'React', 'Javascript', 'HTML/CSS', 'Java', 'Ruby', 'Node.js', 'C', 'R', 'Bash', 'Angular', 'MacOS', 'Linux', 'Windows', 'Azure', 'Oracle', 'MySQLWorkbench']","[1888, 1449, 552]","[1925, 1529, 1542, 1602, 1307, 226, 1840, 1020, 587]","[1925, 1529, 1542, 1602, 1307, 226, 1840, 1020, 587]",[]
26,26,Cyber Security,NYC,"['Angular', 'Node.js', 'Scala', 'C++', 'Python', 'Ruby', 'SQL', 'React', 'C', 'Swift', 'Java', 'MacOS', 'Linux', 'Windows', 'Oracle', 'PostGres', 'AWS', 'Javascript']","[599, 1510, 78]","[878, 129, 1063, 600, 47, 46]","[878, 129, 1063, 600, 47, 46]",[492]
27,27,Information Science,Seattle,"['Javascript', 'Node.js', 'Angular', 'Swift', 'Java', 'Scala', 'R', 'Bash', 'Ruby', 'C', 'SQL', 'HTML/CSS', 'React', 'C++', 'Linux', 'MacOS', 'Windows', 'Scikit-learn', 'AWS', 'Python']","[645, 175, 1177]","[57, 1419, 368, 1242, 1341, 1676, 1925, 1604]","[57, 1419, 368, 1242, 1341, 1676, 1925, 1604]","[213, 381, 53]"
28,28,Cyber Security,NYC,"['SQL', 'Bash', 'React', 'Node.js', 'Scala', 'Java', 'Ruby', 'MacOS', 'Windows', 'Oracle', 'NumPy', 'Javascript', 'Python']","[526, 381, 328, 1863]","[1922, 1117, 472, 1384, 1248, 1430]","[1922, 1117, 472, 1384, 1248, 1430]","[457, 310]"
29,29,Data Science,San Francisco,"['Angular', 'SQL', 'Java', 'HTML/CSS', 'MacOS', 'Azure', 'PostGres']","[582, 62]","[613, 136, 99, 1255, 1882, 1770, 306, 1312, 1182, 170]","[613, 136, 99, 1255, 1882, 1770, 306, 1312, 1182, 170]","[0, 118, 94]"
30,30,Computer Science,Seattle,"['HTML/CSS', 'C++', 'Java', 'C', 'Ruby', 'Angular', 'Node.js', 'Python', 'Linux', 'Oracle', 'Azure', 'NumPy', 'PostGres', 'Spring', 'Javascript', 'SQL']","[1602, 850, 459]","[63, 56, 507, 1734, 1507, 1343, 1085, 1053, 1235]","[63, 56, 507, 1734, 1507, 1343, 1085, 1053, 1235]","[98, 19, 407, 344, 215]"
31,31,Data Science,Seattle,"['HTML/CSS', 'Ruby', 'Swift', 'Angular', 'Node.js', 'C', 'React', 'Python', 'R', 'Java', 'Scala', 'SQL', 'C++', 'Bash', 'Javascript', 'MacOS', 'Linux']","[578, 1787, 922, 1402]","[1005, 1545, 266, 1856, 1219, 1872, 1486, 1993, 1173]","[1005, 1545, 266, 1856, 1219, 1872, 1486, 1993, 1173]",[468]
32,32,Computer Science,Seattle,"['R', 'React', 'HTML/CSS', 'Linux', 'MacOS', 'Oracle', 'Scikit-learn', 'Spring', 'MySQLWorkbench', 'AWS', 'Javascript', 'Python', 'Java', 'SQL']","[1811, 663, 1594]","[633, 55, 1049, 1397, 1164, 237, 959, 1041, 1401]","[633, 55, 1049, 1397, 1164, 237, 959, 1041, 1401]","[384, 297, 461, 496, 476]"
33,33,Cyber Security,Houston,"['Bash', 'Scala', 'HTML/CSS', 'C', 'R', 'Windows', 'Linux', 'MacOS', 'Oracle', 'MySQLWorkbench', 'AWS', 'Spring', 'Python', 'Java', 'SQL']","[873, 988, 697]","[1931, 1023, 1695, 750, 383, 1936]","[1931, 1023, 1695, 750, 383, 1936]",[496]
34,34,Data Science,San Francisco,"['Python', 'Swift', 'Angular', 'Javascript', 'Ruby', 'R', 'C', 'Bash', 'SQL', 'Node.js', 'C++', 'Linux', 'Windows', 'MySQLWorkbench', 'Spring', 'NumPy', 'Oracle', 'Azure', 'AWS', 'PostGres', 'Java']","[1669, 1103, 857, 1054, 351]","[55, 797, 402, 640, 1996, 460]","[55, 797, 402, 640, 1996, 460]","[165, 454]"
35,35,Data Science,Houston,"['R', 'Javascript', 'Python', 'MacOS', 'Windows']",[],"[153, 939, 9, 507, 1920, 357]","[153, 939, 9, 507, 1920, 357]",[]
36,36,Data Science,Houston,"['Bash', 'Angular', 'SQL', 'Python', 'C', 'Scala', 'R', 'C++', 'Ruby', 'Javascript', 'Node.js', 'HTML/CSS', 'Java', 'Windows', 'Spring', 'PostGres']","[121, 745, 716, 1259]","[1336, 465, 535, 857, 605, 312, 221, 114]","[1336, 465, 535, 857, 605, 312, 221, 114]",[23]
37,37,Data Science,NYC,"['SQL', 'Swift', 'Python', 'Windows', 'MacOS', 'Linux', 'NumPy', 'Scikit-learn', 'Azure', 'Spring', 'MySQLWorkbench', 'Java']","[464, 396, 853]","[1002, 1705, 1457, 1540, 1135, 1797, 559]","[1002, 1705, 1457, 1540, 1135, 1797, 559]",[468]
38,38,Computer Science,Houston,"['Swift', 'Windows', 'Linux', 'Spring', 'Java']","[1706, 1444, 683, 989, 433]","[410, 423, 998, 1830, 657, 189, 1675, 1592, 33, 356]","[410, 423, 998, 1830, 657, 189, 1675, 1592, 33, 356]","[164, 134, 262, 168, 423, 432, 56, 219, 252]"
39,39,Data Science,Boston,"['Javascript', 'Python', 'SQL', 'Angular', 'Java', 'Bash', 'Swift', 'R', 'C', 'C++', 'Linux', 'Spring']",[],"[1689, 762, 1640, 17, 1005, 1334, 1629, 1217]","[1689, 762, 1640, 17, 1005, 1334, 1629, 1217]",[]
40,40,Cyber Security,NYC,"['React', 'Swift', 'Java', 'Javascript', 'C', 'R', 'Node.js', 'Ruby', 'Scala', 'MacOS', 'Windows', 'PostGres', 'NumPy', 'Python', 'SQL']","[1545, 1892, 163, 334, 124]","[519, 1172, 421, 904, 849, 553, 92, 1811, 1019]","[519, 1172, 421, 904, 849, 553, 92, 1811, 1019]","[299, 308, 351]"
41,41,Cyber Security,NYC,"['React', 'Ruby', 'Node.js', 'Swift', 'Angular', 'C++', 'C', 'Java', 'MacOS', 'Azure', 'PostGres', 'AWS', 'Oracle', 'Javascript', 'Python', 'SQL']","[446, 242, 1316, 574, 1748]","[1145, 1740, 73, 1190, 946, 415, 612, 434]","[1145, 1740, 73, 1190, 946, 415, 612, 434]","[449, 268]"
42,42,Data Science,Seattle,"['SQL', 'Angular', 'Python', 'C++', 'Bash', 'C', 'R', 'HTML/CSS', 'Javascript', 'Ruby', 'Java', 'React', 'Node.js', 'Swift', 'Scala', 'MacOS', 'Linux', 'Windows', 'AWS', 'PostGres', 'Azure', 'MySQLWorkbench', 'Spring', 'Oracle', 'NumPy']",[],"[1124, 1771, 493, 1124, 1848, 1101, 1335, 1754, 88, 834]","[1124, 1771, 493, 1124, 1848, 1101, 1335, 1754, 88, 834]",[]
43,43,Computer Science,Houston,"['Python', 'Angular', 'C++', 'Node.js', 'C', 'Bash', 'R', 'Java', 'Scala', 'Windows', 'MacOS', 'Oracle', 'Scikit-learn', 'MySQLWorkbench', 'PostGres', 'Javascript', 'SQL']",[1221],"[31, 740, 1950, 1509, 1455, 781, 351, 1680, 1480, 1444]","[31, 740, 1950, 1509, 1455, 781, 351, 1680, 1480, 1444]",[407]
44,44,Data Science,NYC,"['Angular', 'Python', 'Swift', 'Bash', 'Java', 'Ruby', 'R', 'HTML/CSS', 'Scala', 'C++', 'C', 'SQL', 'Node.js', 'MacOS', 'Linux', 'Windows', 'NumPy', 'Azure', 'Spring', 'AWS', 'MySQLWorkbench', 'Javascript']","[1486, 65]","[350, 1225, 1741, 1542, 955, 1663, 1192, 1497, 1295, 1185]","[350, 1225, 1741, 1542, 955, 1663, 1192, 1497, 1295, 1185]",[287]
45,45,Information Science,San Francisco,"['Angular', 'Linux', 'MacOS', 'Windows', 'Azure', 'PostGres', 'SQL']",[],[981],[981],[]
46,46,Information Science,NYC,"['Javascript', 'Bash', 'Java', 'R', 'SQL', 'Scala', 'Node.js', 'Linux', 'Windows']",[962],"[1989, 1208, 611, 1055, 827, 1513, 1900, 1050, 8, 469]","[1989, 1208, 611, 1055, 827, 1513, 1900, 1050, 8, 469]","[126, 110]"
47,47,Information Science,Houston,"['Python', 'Scala', 'SQL', 'React', 'Node.js', 'HTML/CSS', 'Javascript', 'Windows', 'AWS', 'PostGres', 'MySQLWorkbench', 'Spring', 'Oracle', 'NumPy', 'Java']",[],"[1467, 1599, 576, 1645, 292, 1277, 765, 226, 1245]","[1467, 1599, 576, 1645, 292, 1277, 765, 226, 1245]",[]
48,48,Information Science,NYC,"['React', 'Angular', 'Windows', 'Javascript']",[847],"[80, 626, 1453, 1368, 1088, 1453, 483, 443, 182]","[80, 626, 1453, 1368, 1088, 1453, 483, 443, 182]",[]
49,49,Cyber Security,Houston,"['Scala', 'Javascript', 'React', 'Ruby', 'Java', 'C', 'SQL', 'Linux', 'MySQLWorkbench', 'NumPy', 'Oracle', 'Python']","[1728, 1435]","[1535, 1245, 112, 1413, 109, 186, 1942, 1155]","[1535, 1245, 112, 1413, 109, 186, 1942, 1155]",[477]
50,50,Cyber Security,Houston,"['React', 'Angular', 'HTML/CSS', 'Scala', 'Bash', 'C++', 'Ruby', 'Java', 'R', 'Node.js', 'Python', 'SQL', 'Swift', 'C', 'Linux', 'MacOS', 'Windows', 'PostGres', 'Javascript']","[1813, 1190, 1343, 1644, 421]","[144, 776, 1167, 277, 860]","[144, 776, 1167, 277, 860]","[359, 241, 247, 249, 476]"
51,51,Computer Science,NYC,"['C++', 'HTML/CSS', 'C', 'Swift', 'Ruby', 'Bash', 'MacOS', 'Linux']","[1478, 1743, 1015, 1228, 802]","[1028, 1294, 365, 1746, 1515, 840, 720, 1822, 758, 345]","[1028, 1294, 365, 1746, 1515, 840, 720, 1822, 758, 345]","[160, 256, 455, 493, 143]"
52,52,Computer Science,Houston,"['C++', 'Node.js', 'Java', 'C', 'R', 'Angular', 'Javascript', 'Swift', 'HTML/CSS', 'React', 'Ruby', 'Scala', 'MacOS', 'Windows', 'Spring', 'Azure', 'NumPy', 'AWS', 'PostGres', 'Python', 'SQL']",[581],"[588, 1095, 807, 728, 1445]","[588, 1095, 807, 728, 1445]",[216]
53,53,Information Science,NYC,"['C', 'C++', 'Node.js', 'Windows', 'MacOS', 'Oracle', 'Javascript', 'SQL']",[1177],"[727, 471, 1332, 425]","[727, 471, 1332, 425]","[27, 381]"
54,54,Cyber Security,NYC,"['Node.js', 'Javascript', 'Ruby', 'C', 'Windows', 'Linux', 'MacOS', 'NumPy', 'Scikit-learn', 'MySQLWorkbench', 'Python', 'SQL']","[1843, 1223, 522]","[813, 1437, 453, 742, 945, 1428, 1036, 775, 846, 649]","[813, 1437, 453, 742, 945, 1428, 1036, 775, 846, 649]",[168]
55,55,Information Science,San Francisco,"['React', 'Node.js', 'Scala', 'R', 'Ruby', 'C++', 'Bash', 'Linux', 'Azure', 'AWS', 'PostGres', 'Javascript', 'Python', 'SQL']",[1465],"[37, 696, 1490, 827, 26, 1953, 34, 1972, 404]","[37, 696, 1490, 827, 26, 1953, 34, 1972, 404]",[]
56,56,Data Science,Seattle,"['SQL', 'React', 'Javascript', 'R', 'Node.js', 'Python', 'MacOS', 'Linux', 'NumPy', 'Spring', 'Oracle', 'PostGres', 'MySQLWorkbench', 'Java']","[1444, 1268, 406, 1598, 257]","[1829, 1723, 885, 436, 900]","[1829, 1723, 885, 436, 900]","[432, 321, 237, 38]"
57,57,Cyber Security,Houston,"['C++', 'R', 'SQL', 'Java', 'Ruby', 'HTML/CSS', 'Bash', 'React', 'Node.js', 'C', 'MacOS', 'Windows', 'AWS', 'Oracle', 'MySQLWorkbench', 'Azure', 'PostGres', 'Javascript', 'Python']",[1658],"[1554, 972, 1671, 1848, 1516, 552, 1486, 602]","[1554, 972, 1671, 1848, 1516, 552, 1486, 602]",[]
58,58,Cyber Security,NYC,"['HTML/CSS', 'React', 'Windows', 'Linux', 'MacOS', 'MySQLWorkbench', 'Azure', 'AWS', 'PostGres', 'Javascript', 'Python', 'SQL']","[46, 1973]","[1695, 1072, 633, 995, 1087, 1269, 1490, 257]","[1695, 1072, 633, 995, 1087, 1269, 1490, 257]",[298]
59,59,Information Science,San Francisco,"['C++', 'C', 'Scala', 'SQL', 'React', 'Java', 'Javascript', 'HTML/CSS', 'Python', 'R', 'Ruby', 'Windows', 'Azure', 'NumPy', 'MySQLWorkbench', 'Scikit-learn', 'PostGres', 'Oracle']","[93, 1537, 317, 1625, 560]","[1400, 330, 636, 1820]","[1400, 330, 636, 1820]","[465, 250, 451, 335]"
60,60,Data Science,NYC,"['Ruby', 'Bash', 'React', 'Angular', 'Scala', 'Node.js', 'SQL', 'C', 'HTML/CSS', 'C++', 'Javascript', 'R', 'Python', 'Swift', 'Java', 'MacOS', 'Windows', 'Linux', 'MySQLWorkbench', 'Oracle', 'AWS', 'Spring', 'Scikit-learn', 'NumPy', 'Azure']","[1084, 1410, 1935, 296, 1012]","[1219, 321, 1499, 1191, 1381]","[1219, 321, 1499, 1191, 1381]",[91]
61,61,Computer Science,Houston,"['R', 'Javascript', 'Scala', 'Java', 'Python', 'C', 'HTML/CSS', 'React', 'SQL', 'Windows']",[],"[982, 1566, 1480, 614, 1304, 162, 1487]","[982, 1566, 1480, 614, 1304, 162, 1487]",[]
62,62,Information Science,San Francisco,"['Scala', 'Windows', 'MacOS', 'Scikit-learn', 'PostGres', 'Oracle', 'Python', 'SQL']",[1151],"[45, 270, 1506, 1546, 1998, 326, 311, 1278, 197]","[45, 270, 1506, 1546, 1998, 326, 311, 1278, 197]",[116]
63,63,Data Science,NYC,"['SQL', 'HTML/CSS', 'C++', 'Swift', 'Python', 'R', 'C', 'React', 'Node.js', 'Java', 'Angular', 'Ruby', 'Scala', 'Bash', 'MacOS', 'Linux', 'Windows', 'Javascript']","[1857, 1455, 796, 1883]","[1023, 1681, 350, 1366, 253, 1779, 403, 643, 665]","[1023, 1681, 350, 1366, 253, 1779, 403, 643, 665]",[379]
64,64,Computer Science,Seattle,"['Bash', 'Node.js', 'React', 'C', 'SQL', 'Angular', 'Javascript', 'Java', 'Ruby', 'C++', 'R', 'Python', 'HTML/CSS', 'Swift', 'Scala', 'Linux', 'Spring', 'AWS', 'Scikit-learn', 'PostGres']","[1496, 1262, 189, 1138, 1127]","[1508, 1532, 1739, 1835, 976, 1669, 1061, 658, 1054]","[1508, 1532, 1739, 1835, 976, 1669, 1061, 658, 1054]","[451, 452, 267, 303, 465, 468, 278]"
65,65,Information Science,Boston,"['Angular', 'Windows', 'MacOS', 'AWS', 'Oracle', 'Azure', 'PostGres', 'Scikit-learn', 'Spring', 'MySQLWorkbench', 'Python', 'Java', 'SQL']","[1010, 1990]","[615, 269, 1421, 1559]","[615, 269, 1421, 1559]",[146]
66,66,Computer Science,NYC,"['Angular', 'SQL', 'HTML/CSS', 'C', 'Scala', 'Windows', 'Linux', 'NumPy', 'Scikit-learn', 'Azure', 'Oracle', 'Python']","[1296, 395, 1380, 539]","[1565, 325, 136, 990, 783, 849, 129, 992, 843, 284]","[1565, 325, 136, 990, 783, 849, 129, 992, 843, 284]","[393, 78, 71]"
67,67,Computer Science,Seattle,"['Javascript', 'Linux', 'Windows', 'AWS', 'Oracle', 'Spring', 'MySQLWorkbench', 'Python', 'Java', 'SQL']",[],"[1737, 1105, 1345, 661, 1801, 1314, 1192, 1612]","[1737, 1105, 1345, 661, 1801, 1314, 1192, 1612]",[]
68,68,Data Science,NYC,"['SQL', 'Ruby', 'React', 'R', 'Java', 'Python', 'Windows', 'Javascript']","[1397, 910, 1781, 691]","[123, 1808, 11, 625]","[123, 1808, 11, 625]","[424, 346]"
69,69,Information Science,Houston,"['C', 'Scala', 'SQL', 'Node.js', 'React', 'Java', 'Swift', 'Angular', 'Python', 'Javascript', 'R', 'C++', 'HTML/CSS', 'Linux', 'Windows', 'MacOS', 'MySQLWorkbench', 'PostGres', 'Oracle', 'Spring']",[1944],"[1438, 945, 721, 1064, 1948, 408, 312, 268, 1240, 600]","[1438, 945, 721, 1064, 1948, 408, 312, 268, 1240, 600]",[]
70,70,Data Science,Houston,"['Javascript', 'Linux', 'MacOS', 'Spring', 'Azure', 'PostGres', 'NumPy', 'Python', 'Java', 'SQL']","[1250, 534, 28, 829]","[77, 255, 1734, 1057, 1566, 1520, 1768, 1147, 387, 78]","[77, 255, 1734, 1057, 1566, 1520, 1768, 1147, 387, 78]","[410, 428, 421]"
71,71,Information Science,San Francisco,"['Bash', 'R', 'Scala', 'Java', 'Angular', 'HTML/CSS', 'Windows', 'MacOS']",[1296],"[630, 1841, 559]","[630, 1841, 559]","[66, 78]"
72,72,Information Science,San Francisco,"['Ruby', 'Python', 'Angular', 'Bash', 'Scala', 'Javascript', 'C++', 'React', 'MacOS', 'Linux', 'Windows', 'Spring', 'PostGres', 'Azure', 'MySQLWorkbench', 'Oracle', 'Java', 'SQL']","[1948, 457]","[1816, 1529, 1220, 1932, 1981, 1825, 1275, 504]","[1816, 1529, 1220, 1932, 1981, 1825, 1275, 504]",[313]
73,73,Cyber Security,Seattle,"['C++', 'HTML/CSS', 'Bash', 'SQL', 'Java', 'Javascript', 'Node.js', 'Python', 'Scala', 'R', 'MacOS', 'Windows', 'NumPy', 'Scikit-learn', 'Azure', 'Oracle']","[1021, 201, 752, 1571]","[1748, 401, 1665, 231, 1077, 433, 1836, 1307]","[1748, 401, 1665, 231, 1077, 433, 1836, 1307]","[386, 141, 306, 183, 92]"
74,74,Computer Science,NYC,"['Python', 'Javascript', 'C++', 'HTML/CSS', 'R', 'Linux', 'Windows', 'MacOS', 'AWS', 'Azure', 'Scikit-learn', 'NumPy', 'PostGres', 'Oracle', 'MySQLWorkbench', 'SQL']","[1836, 1508]","[1688, 444, 963, 251, 1316, 1849, 820, 1298, 1462]","[1688, 444, 963, 251, 1316, 1849, 820, 1298, 1462]","[428, 421]"
75,75,Computer Science,NYC,"['Bash', 'HTML/CSS', 'C++', 'Java', 'Node.js', 'Javascript', 'Python', 'Swift', 'SQL', 'React', 'Scala', 'Ruby', 'Windows', 'MacOS', 'NumPy']",[],"[180, 1114, 171, 126, 332, 1545, 1937, 330, 1679, 194]","[180, 1114, 171, 126, 332, 1545, 1937, 330, 1679, 194]",[]
76,76,Cyber Security,Seattle,"['Angular', 'Python', 'Ruby', 'Windows', 'MacOS', 'Linux', 'MySQLWorkbench', 'Scikit-learn', 'PostGres', 'SQL']","[1520, 940, 855, 1233, 1189]","[59, 1079, 13, 1778, 500, 1253, 921, 770, 1963, 1913]","[59, 1079, 13, 1778, 500, 1253, 921, 770, 1963, 1913]",[268]
