,jobID,degree,location,technicalSkills,preferredSkills,jobTitle
22,22,Information Science,NYC,"['C++', 'R', 'React', 'Bash', 'PostGres', 'Javascript', 'SQL']","['Ruby', 'Oracle']",Systems administrator
23,23,Data Science,NYC,"['HTML/CSS', 'Javascript', 'React', 'C++', 'Python', 'Java', 'SQL']","['PostGres', 'Spring']",Database Application Specialist
24,24,Information Science,NYC,"['C++', 'Javascript', 'PostGres', 'Spring', 'Oracle', 'Python', 'Java', 'SQL']",['AWS'],Data Engineer
25,25,Cyber Security,Houston,"['Ruby', 'HTML/CSS', 'Swift', 'C', 'C++', 'AWS']","['NumPy', 'Javascript', 'R', 'Python']",Penetration Tester
26,26,Information Science,NYC,"['Node.js', 'Python', 'C++', 'Java', 'HTML/CSS', 'Javascript', 'SQL', 'AWS']",['Ruby'],Systems analyst
27,27,Information Science,Seattle,"['SQL', 'Ruby', 'Swift', 'Oracle', 'MySQLWorkbench']",['Angular'],Database Applications Specialist
28,28,Data Science,NYC,"['SQL', 'Python', 'Bash', 'PostGres']","['Azure', 'C++']",Database Application Specialist
29,29,Cyber Security,Seattle,"['Angular', 'Javascript', 'Swift', 'Azure']","['C', 'HTML/CSS']",Network Security Engineer
30,30,Cyber Security,NYC,"['React', 'Swift', 'SQL', 'HTML/CSS', 'Angular', 'Javascript', 'Java']",['Spring'],Cryptographer
31,31,Data Science,San Francisco,"['Angular', 'Scala', 'Javascript', 'Oracle', 'Azure', 'SQL']","['Node.js', 'MySQLWorkbench']",Data Architect
32,32,Computer Science,Boston,"['SQL', 'Node.js', 'MySQLWorkbench', 'Javascript', 'Python']","['Oracle', 'Scikit-learn']",Full Stack Developer
33,33,Data Science,NYC,"['Swift', 'React', 'Ruby', 'Java', 'Javascript', 'C++', 'Node.js', 'NumPy', 'Spring', 'Python']",[],Data Scientist
34,34,Cyber Security,NYC,"['Ruby', 'R', 'C++', 'SQL', 'PostGres']",['Bash'],Data Recovery Professional
35,35,Cyber Security,Boston,"['Node.js', 'Java', 'React', 'Python', 'Azure', 'Scikit-learn', 'NumPy', 'Javascript', 'SQL']","['R', 'Bash', 'Oracle', 'Swift']",Data Recovery Professional
36,36,Computer Science,San Francisco,"['Python', 'Scala', 'Java', 'SQL', 'Oracle']",[],Software Developer
37,37,Cyber Security,Boston,"['SQL', 'C', 'Bash', 'Swift', 'MySQLWorkbench', 'Python']",['AWS'],Data Recovery Professional
38,38,Data Science,Boston,"['HTML/CSS', 'Java', 'Bash', 'Javascript', 'SQL']","['React', 'MySQLWorkbench', 'Scala']",Data Architect
39,39,Information Science,NYC,"['Bash', 'PostGres', 'SQL']",['Python'],Data Analyst
40,40,Computer Science,San Francisco,"['Bash', 'C++', 'Python', 'PostGres', 'Javascript', 'SQL']",['React'],Full Stack Developer
41,41,Cyber Security,Houston,"['Python', 'Node.js', 'Bash', 'C++', 'SQL', 'Java', 'NumPy', 'MySQLWorkbench', 'Oracle', 'Javascript']",[],Network Security Engineer
42,42,Data Science,Boston,"['Bash', 'Node.js', 'Oracle', 'Spring', 'MySQLWorkbench', 'Javascript', 'Java', 'SQL']",['Python'],Data Architect
43,43,Data Science,San Francisco,"['R', 'Scala', 'Node.js', 'Oracle', 'Javascript', 'SQL']","['C++', 'MySQLWorkbench']",Data Scientist
44,44,Information Science,NYC,"['React', 'Node.js', 'C++', 'AWS', 'Scikit-learn', 'Javascript', 'Python']",['Angular'],Data Analyst
45,45,Information Science,Seattle,"['Angular', 'R', 'PostGres', 'Oracle', 'SQL']","['Javascript', 'Ruby']",Systems analyst
46,46,Cyber Security,NYC,"['Python', 'React', 'Bash', 'Java', 'Node.js', 'C++', 'C', 'Javascript']",['Azure'],Information Security Analyst
47,47,Information Science,Boston,"['Scala', 'Bash', 'Scikit-learn', 'AWS', 'Oracle', 'Python', 'SQL']",['PostGres'],Data Engineer
48,48,Information Science,Seattle,"['Python', 'Swift', 'C++', 'Spring', 'MySQLWorkbench', 'Java', 'SQL']",[],Data Engineer
49,49,Data Science,Seattle,"['Swift', 'Node.js', 'Bash', 'Ruby', 'Javascript', 'C++', 'Java']",['Spring'],Data Scientist
50,50,Cyber Security,Boston,"['R', 'C', 'Java', 'Python', 'Angular', 'SQL']","['HTML/CSS', 'Azure']",Cryptographer
51,51,Information Science,San Francisco,"['Swift', 'Java', 'C', 'Angular', 'HTML/CSS', 'React', 'Javascript', 'Ruby', 'Spring', 'AWS', 'Python']",[],Systems analyst
52,52,Cyber Security,San Francisco,"['Scala', 'R', 'Node.js', 'C++', 'HTML/CSS', 'SQL', 'Ruby', 'React', 'PostGres', 'Oracle', 'Scikit-learn', 'Javascript', 'Python']",[],Information Security Analyst
53,53,Information Science,NYC,"['SQL', 'Java', 'React', 'Javascript', 'Python', 'MySQLWorkbench']","['R', 'AWS']",Systems analyst
54,54,Information Science,Seattle,"['React', 'HTML/CSS', 'SQL', 'C', 'Oracle', 'Azure', 'Javascript']",['Ruby'],Database Applications Specialist
55,55,Cyber Security,San Francisco,"['SQL', 'Scala', 'Java', 'Javascript', 'Ruby', 'NumPy', 'PostGres', 'AWS', 'Python']",['MySQLWorkbench'],Network Security Engineer
56,56,Data Science,Houston,"['C++', 'React', 'Javascript', 'SQL', 'MySQLWorkbench', 'Oracle', 'PostGres']",['Azure'],Data Scientist
57,57,Cyber Security,Boston,"['C++', 'Java', 'R', 'Angular', 'Oracle', 'Azure', 'MySQLWorkbench', 'Spring', 'Javascript', 'SQL']",['React'],Penetration Tester
58,58,Information Science,Houston,"['SQL', 'Scala', 'Angular', 'C', 'AWS', 'Scikit-learn', 'Spring', 'MySQLWorkbench', 'Python', 'Java']",[],Intelligence Specialist
59,59,Computer Science,Houston,"['Angular', 'SQL', 'C++', 'Scala', 'Javascript', 'R', 'Swift', 'Oracle', 'AWS', 'Python']",['Scikit-learn'],Full Stack Developer
60,60,Cyber Security,San Francisco,"['C++', 'Java', 'Javascript', 'Node.js', 'PostGres', 'Spring', 'Oracle', 'Python', 'SQL']",['NumPy'],Data Recovery Professional
61,61,Cyber Security,Houston,"['R', 'React', 'Javascript', 'HTML/CSS', 'AWS']","['Ruby', 'Java', 'Python']",Penetration Tester
62,62,Data Science,NYC,"['React', 'Python', 'Oracle', 'NumPy', 'Javascript', 'SQL']",['Bash'],Data Scientist
63,63,Cyber Security,NYC,"['Javascript', 'Azure', 'MySQLWorkbench', 'Python', 'SQL']","['Angular', 'NumPy']",Cryptographer
64,64,Information Science,Boston,"['C', 'Javascript', 'SQL', 'C++', 'PostGres']","['Swift', 'Ruby']",Database Applications Specialist
65,65,Information Science,Boston,"['Java', 'C++', 'Javascript', 'Oracle', 'Spring', 'SQL']",['React'],Systems administrator
66,66,Cyber Security,Boston,"['C', 'SQL', 'MySQLWorkbench', 'AWS', 'Azure', 'Scikit-learn', 'Python']","['C++', 'R']",Cryptographer
67,67,Data Science,Houston,"['C++', 'Angular', 'Node.js', 'Javascript', 'Java']","['Ruby', 'Spring', 'React']",Data Architect
68,68,Data Science,San Francisco,"['Scala', 'Python', 'Javascript', 'R', 'Spring', 'Oracle', 'AWS', 'Java', 'SQL']","['Swift', 'Azure', 'React', 'Ruby']",Data Analyst
69,69,Cyber Security,Boston,"['Swift', 'Ruby', 'Node.js', 'C++', 'Python', 'Javascript', 'Scikit-learn', 'NumPy']","['React', 'Bash', 'AWS']",Cryptographer
70,70,Data Science,Houston,"['Python', 'Bash', 'R', 'HTML/CSS', 'Java', 'C++', 'Azure', 'PostGres', 'SQL']",['C'],Data Engineer
71,71,Cyber Security,Houston,"['Angular', 'SQL', 'Python']",['Scikit-learn'],Cryptographer
72,72,Computer Science,Boston,"['Bash', 'React', 'Angular', 'C', 'Spring', 'PostGres', 'Azure', 'Javascript', 'Java', 'SQL']",['Oracle'],Full Stack Developer
73,73,Computer Science,Houston,"['Scala', 'Java', 'Javascript', 'Python', 'NumPy']",['Node.js'],UI Developer
74,74,Computer Science,Boston,"['Javascript', 'Spring', 'Java']",['React'],Front End Engineer
75,75,Cyber Security,Houston,"['Java', 'React', 'Python', 'AWS', 'NumPy', 'Azure', 'Javascript']","['R', 'Ruby', 'C']",Cryptographer
76,76,Cyber Security,San Francisco,"['Ruby', 'C', 'Scala', 'PostGres', 'SQL']",['MySQLWorkbench'],Data Recovery Professional
77,77,Cyber Security,Houston,"['C++', 'Python', 'SQL']",['PostGres'],Penetration Tester
78,78,Data Science,Boston,"['Scala', 'Bash', 'Python', 'C++', 'Oracle', 'Javascript', 'SQL']","['React', 'Angular']",Data Analyst
79,79,Computer Science,Seattle,"['Scala', 'C++', 'Python', 'Ruby', 'Oracle', 'Scikit-learn', 'Spring', 'Java', 'SQL']",['NumPy'],Programmer
80,80,Data Science,San Francisco,"['C', 'Angular', 'R', 'Swift', 'React', 'Node.js', 'PostGres', 'Javascript', 'Python', 'SQL']","['NumPy', 'Bash', 'HTML/CSS']",Data Architect
81,81,Cyber Security,Houston,"['R', 'Bash', 'Scikit-learn', 'Azure', 'Python', 'Java']","['Spring', 'Ruby']",Penetration Tester
82,82,Computer Science,NYC,"['Javascript', 'Bash', 'C', 'Spring', 'Java']",[],Front End Engineer
83,83,Computer Science,Houston,"['Javascript', 'Node.js', 'PostGres', 'SQL']",[],Front End Engineer
84,84,Computer Science,Houston,"['Swift', 'Ruby', 'Javascript', 'Azure', 'AWS', 'MySQLWorkbench', 'SQL']","['Python', 'Node.js']",Web Developer
85,85,Cyber Security,Houston,"['Bash', 'Node.js', 'C', 'R', 'Python', 'SQL', 'Scikit-learn', 'Oracle', 'Javascript']","['MySQLWorkbench', 'React', 'NumPy', 'Angular']",Penetration Tester
86,86,Data Science,NYC,"['HTML/CSS', 'Python', 'Scikit-learn', 'NumPy']",['SQL'],Data Scientist
87,87,Data Science,Houston,"['Node.js', 'C', 'PostGres', 'MySQLWorkbench', 'NumPy', 'Scikit-learn', 'Javascript', 'Python', 'SQL']",[],Data Analyst
88,88,Information Science,Boston,"['HTML/CSS', 'Javascript', 'SQL', 'Python', 'Node.js', 'Scala', 'Java', 'PostGres', 'Spring']",['Swift'],Systems administrator
89,89,Cyber Security,Houston,"['Ruby', 'React', 'Scikit-learn', 'Javascript', 'Python']",[],Information Security Analyst
90,90,Cyber Security,Boston,"['React', 'Java', 'Swift', 'Node.js', 'PostGres', 'Javascript', 'SQL']",[],Data Recovery Professional
91,91,Data Science,Boston,"['SQL', 'HTML/CSS', 'Python', 'Javascript', 'Spring', 'NumPy', 'Azure', 'Java']","['Node.js', 'React', 'Scikit-learn']",Data Engineer
92,92,Computer Science,NYC,"['React', 'PostGres', 'Javascript', 'SQL']",['Python'],UI Developer
93,93,Information Science,NYC,"['React', 'C', 'SQL', 'Spring', 'Oracle', 'NumPy', 'Javascript', 'Python', 'Java']","['PostGres', 'Angular']",Database Applications Specialist
94,94,Cyber Security,Seattle,"['Scala', 'MySQLWorkbench', 'Oracle', 'Python', 'SQL']","['NumPy', 'Java', 'Scikit-learn']",Cryptographer
95,95,Computer Science,San Francisco,"['R', 'Node.js', 'Azure', 'AWS', 'MySQLWorkbench', 'Javascript', 'Python', 'SQL']","['Swift', 'PostGres']",Full Stack Developer
96,96,Information Science,Boston,"['Java', 'Scala', 'R', 'Swift', 'AWS', 'Oracle', 'Python', 'SQL']","['React', 'C', 'Javascript', 'Bash']",Intelligence Specialist
97,97,Information Science,NYC,"['R', 'Javascript', 'C++', 'Spring', 'PostGres', 'Oracle', 'AWS', 'Java', 'SQL']","['Swift', 'Python']",Data Analyst
98,98,Computer Science,San Francisco,"['Javascript', 'Scikit-learn', 'PostGres', 'Oracle', 'Python', 'SQL']",['Java'],Full Stack Developer
99,99,Cyber Security,Houston,"['Javascript', 'SQL', 'HTML/CSS', 'React', 'R', 'Spring', 'Java']","['Angular', 'Swift', 'Ruby']",Network Security Engineer
100,100,Computer Science,Boston,"['Node.js', 'HTML/CSS', 'React', 'R', 'Spring', 'MySQLWorkbench', 'PostGres', 'Javascript', 'Java', 'SQL']",['Ruby'],Full Stack Developer
101,101,Data Science,NYC,"['Node.js', 'React', 'R', 'SQL', 'C', 'HTML/CSS', 'AWS', 'Javascript', 'Python']",[],Database Application Specialist
102,102,Cyber Security,Houston,"['SQL', 'Ruby', 'Scala', 'NumPy', 'Scikit-learn', 'Python']","['HTML/CSS', 'Oracle', 'Azure']",Data Recovery Professional
103,103,Cyber Security,NYC,"['Node.js', 'Angular', 'Azure', 'Javascript', 'Python']",['AWS'],Network Security Engineer
104,104,Cyber Security,Houston,"['C++', 'R', 'Azure', 'AWS', 'Python', 'SQL']",['MySQLWorkbench'],Penetration Tester
105,105,Data Science,Seattle,"['C', 'Java', 'C++', 'Ruby', 'Swift', 'AWS', 'Spring', 'Azure', 'NumPy', 'Python']",['R'],Data Scientist
106,106,Information Science,Seattle,"['C++', 'C', 'Ruby', 'Javascript', 'PostGres', 'Oracle', 'Scikit-learn', 'Python', 'SQL']",[],Data Analyst
107,107,Cyber Security,Boston,"['Python', 'Azure', 'NumPy']",['Javascript'],Information Security Analyst
108,108,Data Science,Boston,"['C', 'React', 'Azure', 'Scikit-learn', 'Javascript', 'Python', 'Java', 'SQL']","['Spring', 'Oracle']",Data Scientist
109,109,Computer Science,NYC,"['Angular', 'R', 'Oracle', 'Python', 'SQL']",['AWS'],DevOps Engineer
110,110,Computer Science,NYC,"['React', 'HTML/CSS', 'Node.js', 'Javascript', 'Bash', 'MySQLWorkbench', 'SQL']",['Python'],UI Developer
111,111,Information Science,NYC,"['Angular', 'HTML/CSS', 'Python', 'React', 'PostGres', 'Spring', 'Javascript', 'Java', 'SQL']","['C++', 'AWS']",Database Applications Specialist
112,112,Cyber Security,Seattle,"['Angular', 'Python', 'Spring', 'Java']",['Bash'],Information Security Analyst
113,113,Information Science,Boston,"['React', 'Javascript', 'C', 'Node.js', 'Angular', 'Swift', 'MySQLWorkbench', 'Oracle', 'Azure', 'AWS', 'SQL']",['Python'],Systems analyst
114,114,Information Science,Boston,"['Angular', 'Swift', 'Scala', 'Javascript', 'Java', 'C++', 'Python', 'AWS']",['React'],Data Analyst
115,115,Information Science,NYC,"['Swift', 'Python', 'C', 'Ruby', 'NumPy', 'MySQLWorkbench', 'Scikit-learn', 'Javascript', 'SQL']","['Scala', 'Node.js']",Data Analyst
116,116,Data Science,Boston,"['Ruby', 'HTML/CSS', 'SQL', 'AWS', 'Azure', 'PostGres']","['Python', 'R']",Database Application Specialist
117,117,Information Science,NYC,"['HTML/CSS', 'Javascript', 'SQL', 'C++', 'Ruby', 'React', 'Azure']",[],Database Applications Specialist
118,118,Cyber Security,NYC,"['Node.js', 'Javascript', 'Swift', 'PostGres', 'SQL']",['Oracle'],Penetration Tester
119,119,Computer Science,NYC,"['SQL', 'Ruby', 'Javascript', 'Java', 'Azure', 'Scikit-learn', 'AWS', 'NumPy', 'Python']","['HTML/CSS', 'C']",Full Stack Developer
120,120,Information Science,San Francisco,"['Swift', 'PostGres', 'Oracle', 'AWS', 'Python', 'SQL']","['Azure', 'Ruby']",Data Analyst
121,121,Information Science,San Francisco,"['Node.js', 'Python', 'Azure', 'Oracle', 'Javascript', 'SQL']","['PostGres', 'MySQLWorkbench']",Systems administrator
122,122,Computer Science,San Francisco,"['HTML/CSS', 'Node.js', 'Oracle', 'MySQLWorkbench', 'Scikit-learn', 'Javascript', 'Python', 'SQL']",['C'],Full Stack Developer
123,123,Computer Science,Houston,"['Java', 'Ruby', 'Python', 'Javascript', 'R', 'Scikit-learn']","['Spring', 'SQL']",Front End Engineer
124,124,Information Science,Seattle,"['Node.js', 'R', 'MySQLWorkbench', 'Scikit-learn', 'Javascript', 'Python', 'SQL']",[],Intelligence Specialist
125,125,Cyber Security,Houston,"['Swift', 'Ruby', 'Spring', 'Oracle', 'Java', 'SQL']",['MySQLWorkbench'],Network Security Engineer
126,126,Information Science,Houston,"['Java', 'Python', 'SQL', 'C++', 'React', 'Angular', 'MySQLWorkbench', 'NumPy', 'AWS', 'Oracle', 'Javascript']",[],Database Applications Specialist
127,127,Cyber Security,San Francisco,"['Swift', 'Python', 'Bash', 'HTML/CSS', 'SQL', 'Javascript', 'Java', 'Scikit-learn', 'Oracle', 'AWS', 'Spring']",['R'],Penetration Tester
128,128,Computer Science,San Francisco,"['Angular', 'Spring', 'Java']",['Ruby'],Software Engineer
129,129,Cyber Security,Boston,"['R', 'Swift', 'Scala', 'PostGres', 'NumPy', 'Python', 'SQL']","['HTML/CSS', 'C']",Cryptographer
130,130,Cyber Security,Boston,"['C++', 'Bash', 'Scikit-learn', 'Azure', 'Spring', 'Javascript', 'Python', 'Java']",['Node.js'],Penetration Tester
131,131,Cyber Security,San Francisco,"['C', 'Javascript', 'MySQLWorkbench', 'Azure', 'Java', 'SQL']","['AWS', 'React', 'Spring', 'Python']",Network Security Engineer
132,132,Cyber Security,Houston,"['C', 'Javascript', 'Angular', 'Python', 'HTML/CSS', 'Azure', 'Spring', 'Oracle', 'Java', 'SQL']",['NumPy'],Cryptographer
133,133,Information Science,Boston,"['SQL', 'C', 'React', 'Python', 'Node.js', 'Ruby', 'PostGres', 'Oracle', 'MySQLWorkbench', 'Javascript']","['AWS', 'Bash', 'HTML/CSS']",Data Engineer
134,134,Computer Science,Houston,"['Javascript', 'React', 'R', 'Swift', 'Scikit-learn', 'NumPy', 'Azure', 'Python', 'SQL']",['MySQLWorkbench'],Full Stack Developer
135,135,Information Science,San Francisco,"['C', 'HTML/CSS', 'Bash', 'SQL', 'Java', 'Python', 'NumPy', 'MySQLWorkbench', 'AWS']","['PostGres', 'Angular', 'C++']",Database Applications Specialist
136,136,Computer Science,Seattle,"['R', 'Python', 'Scala', 'HTML/CSS', 'Node.js', 'PostGres', 'Scikit-learn', 'Javascript', 'SQL']",['C++'],Full Stack Developer
137,137,Information Science,Seattle,"['C', 'R', 'Python', 'Javascript', 'MySQLWorkbench', 'SQL']","['NumPy', 'AWS']",Data Engineer
138,138,Computer Science,San Francisco,"['Node.js', 'Bash', 'Angular', 'SQL', 'C++', 'HTML/CSS', 'Scikit-learn', 'Javascript', 'Python']",['Java'],Full Stack Developer
139,139,Information Science,San Francisco,"['SQL', 'C', 'Python', 'Node.js', 'React', 'HTML/CSS', 'PostGres', 'Javascript']",[],Intelligence Specialist
140,140,Computer Science,NYC,"['Bash', 'C++', 'Javascript', 'Azure', 'NumPy', 'Python']",[],Web Developer
141,141,Cyber Security,Houston,"['Javascript', 'Bash', 'Swift', 'Spring', 'AWS', 'Oracle', 'Python', 'Java', 'SQL']",[],Cryptographer
142,142,Data Science,Houston,"['R', 'SQL', 'HTML/CSS', 'Ruby', 'Python', 'Scikit-learn', 'Azure', 'Oracle', 'Spring', 'Java']","['Swift', 'Angular']",Data Scientist
143,143,Computer Science,Seattle,"['Angular', 'Ruby', 'Python', 'Bash', 'React', 'Node.js', 'PostGres', 'MySQLWorkbench', 'Javascript', 'SQL']","['AWS', 'C++', 'Scikit-learn']",Full Stack Developer
144,144,Data Science,NYC,"['HTML/CSS', 'Javascript', 'C', 'Angular', 'Spring', 'MySQLWorkbench', 'PostGres', 'Oracle', 'Java', 'SQL']","['React', 'Node.js']",Database Application Specialist
145,145,Cyber Security,Seattle,"['Java', 'HTML/CSS', 'SQL', 'Ruby', 'Azure']","['C++', 'Python']",Data Recovery Professional
146,146,Information Science,San Francisco,"['SQL', 'HTML/CSS', 'Ruby', 'Scikit-learn', 'Python']",['Oracle'],Database Applications Specialist
147,147,Data Science,Boston,"['R', 'Swift', 'Java', 'HTML/CSS', 'C++', 'Bash', 'SQL', 'AWS', 'PostGres', 'Oracle', 'Azure', 'Javascript', 'Python']",['Node.js'],Data Analyst
148,148,Computer Science,San Francisco,"['C++', 'Ruby', 'R', 'PostGres', 'Python', 'SQL']","['C', 'AWS']",Software Developer
149,149,Cyber Security,Seattle,"['React', 'Bash', 'Scikit-learn', 'PostGres', 'MySQLWorkbench', 'AWS', 'Javascript', 'Python', 'SQL']",[],Information Security Analyst
150,150,Information Science,Boston,"['Bash', 'C', 'Javascript', 'Oracle', 'AWS', 'PostGres', 'Python', 'SQL']",['React'],Database Applications Specialist
151,151,Data Science,Boston,"['Scala', 'NumPy', 'Python', 'SQL']","['Oracle', 'Ruby']",Data Architect
152,152,Data Science,Seattle,"['R', 'Java', 'C++', 'Ruby', 'React', 'Scala', 'Spring', 'MySQLWorkbench', 'NumPy', 'Javascript', 'Python', 'SQL']","['Node.js', 'Angular']",Machine Learning Engineer
153,153,Data Science,San Francisco,"['Node.js', 'HTML/CSS', 'Spring', 'Scikit-learn', 'Javascript', 'Python', 'Java']","['Azure', 'SQL']",Data Architect
154,154,Data Science,San Francisco,"['Swift', 'Java', 'C++', 'Ruby', 'Spring', 'AWS', 'PostGres', 'Python', 'SQL']",['MySQLWorkbench'],Data Engineer
155,155,Cyber Security,Houston,"['Node.js', 'Python', 'C++', 'Java', 'Scikit-learn', 'Javascript']",['Swift'],Penetration Tester
156,156,Data Science,San Francisco,"['Node.js', 'Scala', 'SQL', 'Ruby', 'Scikit-learn', 'Oracle', 'Javascript', 'Python']",['NumPy'],Database Application Specialist
157,157,Cyber Security,Boston,"['HTML/CSS', 'React', 'AWS', 'Spring', 'NumPy', 'Javascript', 'Python', 'Java']",[],Data Recovery Professional
158,158,Information Science,NYC,"['Java', 'React', 'Javascript', 'MySQLWorkbench', 'SQL']",[],Data Engineer
159,159,Computer Science,Boston,"['Node.js', 'Python', 'Javascript', 'React', 'C', 'C++', 'Swift', 'Azure']",['Scala'],React Developer
160,160,Information Science,Houston,"['Swift', 'Python', 'Scala', 'Ruby', 'R', 'Spring', 'Javascript', 'Java']","['React', 'NumPy', 'AWS', 'SQL', 'C', 'Azure']",Database Applications Specialist
161,161,Cyber Security,Boston,"['Node.js', 'Java', 'Bash', 'R', 'Ruby', 'SQL', 'NumPy', 'Oracle', 'Javascript', 'Python']","['Angular', 'Spring', 'Scala']",Data Recovery Professional
162,162,Computer Science,NYC,"['Swift', 'R', 'C++', 'AWS', 'Python']","['Bash', 'Azure']",DevOps Engineer
163,163,Data Science,San Francisco,"['R', 'Java', 'SQL', 'Scala', 'Swift', 'Bash', 'Azure', 'MySQLWorkbench', 'Python']","['NumPy', 'HTML/CSS']",Data Engineer
164,164,Data Science,Boston,"['Scala', 'R', 'React', 'PostGres', 'Oracle', 'Javascript', 'SQL']",[],Data Analyst
165,165,Cyber Security,Houston,"['SQL', 'Javascript', 'R', 'Node.js', 'React', 'Swift', 'Spring', 'Java']",[],Data Recovery Professional
166,166,Data Science,San Francisco,"['Scala', 'SQL', 'Javascript', 'Node.js', 'Azure', 'AWS', 'Scikit-learn', 'Python', 'Java']","['Spring', 'Swift', 'R', 'Angular', 'Bash']",Machine Learning Engineer
167,167,Cyber Security,Seattle,"['C++', 'Bash', 'PostGres', 'Spring', 'Azure', 'Javascript', 'Java', 'SQL']","['Node.js', 'HTML/CSS', 'Scikit-learn', 'Python']",Data Recovery Professional
168,168,Computer Science,NYC,"['SQL', 'Scala', 'Bash', 'Javascript', 'Swift', 'Java', 'R', 'Azure']",['HTML/CSS'],Full Stack Developer
169,169,Data Science,Houston,"['R', 'Node.js', 'React', 'Scala', 'Swift', 'HTML/CSS', 'PostGres', 'Oracle', 'Javascript', 'SQL']","['Bash', 'C++']",Data Scientist
170,170,Information Science,Seattle,"['Java', 'C++', 'React', 'Swift', 'Scala', 'PostGres', 'Javascript', 'SQL']",[],Data Engineer
171,171,Computer Science,Seattle,"['SQL', 'Javascript', 'Azure', 'Spring', 'NumPy', 'MySQLWorkbench', 'Python', 'Java']",[],Full Stack Developer
172,172,Cyber Security,Seattle,"['Javascript', 'Ruby', 'PostGres', 'Spring', 'Java', 'SQL']",['C++'],Data Recovery Professional
173,173,Data Science,Seattle,"['SQL', 'Java', 'C', 'C++', 'Oracle', 'PostGres']",['Swift'],Data Architect
174,174,Data Science,NYC,"['Ruby', 'Java', 'HTML/CSS', 'Spring', 'Scikit-learn', 'Oracle', 'Javascript', 'Python', 'SQL']","['Node.js', 'MySQLWorkbench']",Data Architect
