,employeeID,jobID
460,161,1296
461,162,727
462,164,1629
463,165,97
464,165,1168
465,166,926
466,166,1829
467,166,1313
468,166,1071
469,167,1253
470,167,183
471,167,1789
472,169,1004
473,169,713
474,169,1028
475,169,739
476,170,669
477,171,519
478,171,763
479,171,1295
480,171,1558
481,171,1333
482,171,1156
483,173,797
484,175,592
485,176,1987
486,176,1729
487,177,13
488,177,357
489,177,213
490,177,1197
491,179,891
492,179,1052
493,179,362
494,179,1260
495,179,1296
496,179,1354
497,179,1908
498,180,1074
499,180,1893
500,180,1161
501,181,1980
502,181,217
503,181,1692
504,182,142
505,182,982
506,183,1342
507,183,1997
508,183,1333
509,184,296
510,184,1155
511,184,79
512,184,1662
513,187,751
514,187,1908
515,187,80
516,187,26
517,188,1512
518,190,646
519,192,1034
520,192,1334
521,192,1789
522,192,16
523,192,906
524,192,340
525,192,257
526,192,471
527,193,1923
528,193,711
529,193,377
530,195,911
531,195,402
532,195,605
533,195,429
534,195,1742
535,195,382
536,196,1528
537,197,606
538,198,92
539,200,1682
540,200,1904
541,200,1603
542,200,1176
543,201,1854
544,203,506
545,203,1871
546,204,463
547,204,647
548,204,189
549,204,1571
550,204,331
551,206,1956
552,206,800
553,206,366
554,206,1785
555,206,738
556,206,1591
557,206,362
558,206,262
559,207,625
560,207,195
561,208,679
562,209,525
563,209,1068
564,209,1187
565,210,1330
566,214,1327
567,215,609
568,215,741
569,216,143
570,217,971
571,219,1910
572,219,1244
573,219,936
574,219,1556
575,219,1345
576,220,1683
577,220,349
578,220,1928
579,220,127
580,220,1370
581,221,1304
582,221,1850
583,221,577
584,221,1251
585,221,1259
586,222,1024
587,222,1507
588,222,1700
589,223,160
590,223,47
591,224,1486
592,224,1175
593,224,391
594,224,747
595,224,1633
596,224,1044
597,224,1988
598,224,1251
599,224,757
600,225,633
601,225,1898
602,225,737
603,225,1300
604,225,737
605,225,1560
606,225,409
607,226,68
608,227,1656
609,227,874
610,227,903
611,227,1664
612,227,712
613,228,798
614,231,11
615,231,627
616,231,1345
617,233,467
618,235,1078
619,237,562
620,237,1833
621,237,855
622,238,1383
623,238,778
624,238,1395
625,238,483
626,239,1745
627,240,202
628,240,70
629,240,751
630,240,1032
631,240,1949
632,241,903
633,241,1797
634,241,1672
635,241,1428
636,241,1087
637,242,1348
638,245,1060
639,245,234
640,245,705
641,246,366
642,246,677
643,246,1195
644,246,1474
645,246,1750
646,246,1923
647,246,841
648,247,1922
649,247,1040
650,248,1360
651,250,1268
652,250,1285
653,250,84
654,250,1023
655,251,1229
656,251,333
657,255,1679
658,255,1026
659,255,876
660,256,936
661,256,555
662,257,730
663,258,659
664,258,483
665,258,748
666,258,159
667,258,1715
668,258,839
669,260,747
670,260,1097
671,260,129
672,260,1513
673,260,1309
674,262,550
675,262,1897
676,262,437
677,262,492
678,262,134
679,262,943
680,262,149
681,262,767
682,262,669
683,264,1544
684,265,844
685,265,1235
686,265,1184
687,265,584
688,265,998
689,266,211
690,266,169
691,266,1443
692,266,1593
693,266,1644
694,266,1583
695,266,1485
696,266,1276
697,266,648
698,267,168
699,267,1939
700,267,1952
701,267,1647
702,267,1536
703,267,140
704,267,1461
705,267,1854
706,268,1592
707,268,701
708,268,151
709,268,1267
710,268,769
711,269,1220
712,269,1457
713,271,56
714,273,1155
715,273,793
716,275,1817
717,275,194
718,275,916
719,275,321
720,276,752
721,277,1605
722,278,901
723,278,248
724,278,1484
725,280,930
726,280,538
727,281,1827
728,281,256
729,281,132
730,282,1137
731,282,307
732,282,541
733,282,453
734,282,1770
735,282,362
736,282,530
737,282,685
738,282,236
739,282,1536
740,284,1935
741,284,1187
742,284,808
743,286,214
744,286,84
745,286,865
746,286,52
747,286,1933
748,287,1241
749,288,33
750,288,1205
751,288,1130
752,288,1500
753,288,1227
754,288,1266
755,288,556
756,288,327
757,289,1656
758,289,1362
759,289,1604
760,289,1607
761,289,943
762,290,78
763,290,1578
764,290,177
765,290,1826
766,291,529
767,291,838
768,293,936
769,294,1069
770,295,1577
771,295,1179
772,295,1234
773,295,1776
774,296,838
775,296,18
776,296,1824
777,296,879
778,296,84
779,296,303
780,297,982
781,297,1812
782,301,315
783,302,25
784,303,737
785,303,163
786,304,301
787,304,304
788,304,344
789,306,78
790,307,1279
791,308,1223
792,308,173
793,308,1014
794,308,174
795,308,431
796,308,1472
797,310,1021
798,310,370
799,310,1717
800,310,1101
801,310,1456
802,310,164
803,310,1006
804,311,1722
805,311,427
806,311,1469
807,311,1991
808,314,1248
809,314,1804
810,314,1600
811,315,823
812,315,209
813,315,1933
814,316,1170
815,316,1307
816,316,1698
817,316,520
818,316,417
819,316,1612
820,316,1053
821,316,1374
822,316,1298
823,316,1387
824,317,483
825,317,399
826,317,1997
827,317,461
828,318,548
829,318,1436
830,318,496
831,321,1311
832,321,1579
833,321,508
834,322,305
835,322,1694
836,324,1134
837,325,439
838,325,1132
839,325,1081
840,325,1972
841,325,1753
842,325,1842
843,325,1438
844,325,129
845,325,1476
846,327,1693
847,329,1787
848,329,761
849,331,925
850,331,203
851,331,1140
852,331,1741
853,331,241
854,331,641
855,331,35
856,331,1123
857,332,1288
858,332,682
859,332,1346
860,332,1726
861,332,774
862,332,21
863,332,1373
864,332,455
865,333,1278
866,333,1682
867,333,1900
868,334,467
869,334,162
870,335,1503
871,335,823
872,335,375
873,335,856
874,335,1058
875,337,1642
876,337,347
877,338,205
878,346,132
879,346,83
880,346,1576
881,346,1908
882,346,725
883,346,48
884,348,360
885,349,1958
886,349,1263
887,349,571
888,349,1928
889,349,372
890,349,1883
891,350,285
892,350,1175
893,350,446
894,350,493
895,351,635
896,351,218
897,351,1205
898,351,1292
899,351,331
900,352,1832
901,353,1006
902,353,52
903,353,763
904,353,1334
905,353,1114
906,354,155
907,355,84
908,355,670
909,355,1348
910,355,815
911,355,1691
912,355,1058
913,356,434
914,356,621
915,357,177
916,357,1929
917,357,533
918,357,1959
919,358,1833
920,358,1573
921,358,1922
922,358,558
923,360,1060
924,362,967
925,362,1922
926,362,371
927,362,1030
928,362,1018
929,362,89
930,362,1854
931,362,1799
932,362,872
933,363,1143
934,364,826
935,364,44
936,364,773
937,364,1594
938,364,382
939,364,799
940,365,1860
941,366,1047
942,367,606
943,367,100
944,369,314
945,369,261
946,369,162
947,369,349
948,369,716
949,369,1259
950,369,1751
951,369,401
952,369,39
953,369,435
954,371,1843
955,372,1245
956,372,67
957,372,25
958,372,117
959,373,622
960,373,635
961,373,207
962,373,693
963,374,709
964,374,855
965,374,1914
966,374,1981
967,374,714
968,376,1622
969,376,212
970,376,1739
971,376,336
972,377,355
973,377,1795
974,377,1476
975,377,805
976,377,931
977,378,1881
978,378,1153
979,378,1157
980,378,1276
981,378,1848
982,378,817
983,381,1079
984,381,411
985,381,309
986,381,1285
987,381,1541
988,381,692
989,381,1921
990,382,93
991,382,1458
992,382,1765
993,382,657
994,382,787
995,384,759
996,384,1683
997,384,1653
998,384,1740
999,388,100
1000,388,696
1001,388,872
1002,388,118
1003,388,1650
1004,388,663
1005,389,557
1006,389,885
1007,389,587
1008,389,1513
1009,390,428
1010,390,606
1011,390,644
1012,390,450
1013,393,276
1014,393,975
1015,394,1319
1016,395,1173
1017,395,1705
1018,395,558
1019,395,1334
1020,395,1992
1021,402,1839
1022,402,1236
1023,402,1319
1024,403,1276
1025,403,848
1026,403,27
1027,404,1583
1028,404,417
1029,404,1292
1030,404,1419
1031,404,94
1032,404,384
1033,404,1903
1034,404,65
1035,404,1482
1036,406,489
1037,406,895
1038,406,317
1039,406,306
1040,406,1469
1041,407,1664
1042,407,446
1043,408,186
1044,408,218
1045,408,1645
1046,408,1263
1047,410,1668
1048,410,1550
1049,410,1858
1050,410,1532
1051,410,179
1052,411,1874
1053,412,58
1054,412,1724
1055,412,18
1056,412,1056
1057,413,361
1058,413,380
1059,414,974
1060,414,500
1061,417,1168
1062,417,1536
1063,417,1126
1064,417,329
1065,418,328
1066,418,810
1067,418,721
1068,418,1352
1069,418,81
1070,418,1320
1071,418,1032
1072,418,820
1073,419,1196
1074,419,1355
1075,419,1291
1076,420,135
1077,421,232
1078,421,1228
1079,421,293
1080,421,808
1081,422,333
1082,422,1499
1083,422,279
1084,423,327
1085,423,1066
1086,423,704
1087,423,1957
1088,423,901
1089,424,1552
1090,424,1933
1091,425,841
1092,425,624
1093,425,402
1094,425,1089
1095,425,1944
1096,425,849
1097,425,235
1098,425,1268
1099,426,1772
1100,427,1036
1101,429,1546
1102,429,1785
1103,429,1802
1104,429,542
1105,429,97
1106,429,188
1107,429,1972
1108,430,706
1109,430,962
1110,430,1118
1111,430,1181
1112,430,981
1113,430,1765
1114,430,1407
1115,431,1869
1116,431,729
1117,431,44
1118,431,434
1119,432,1368
1120,433,452
1121,433,980
1122,433,1260
1123,434,824
1124,434,941
1125,435,226
1126,435,1263
1127,436,1507
1128,436,549
1129,436,937
1130,437,173
1131,437,295
1132,437,1899
1133,437,541
1134,437,596
1135,437,1299
1136,437,1457
1137,438,1217
1138,441,1711
1139,442,1879
1140,443,1615
1141,443,52
1142,443,1895
1143,444,973
1144,445,1316
1145,445,375
1146,446,1929
1147,446,1008
1148,446,823
1149,448,1210
1150,450,374
1151,450,1202
1152,450,1328
1153,450,894
1154,453,648
1155,453,164
1156,453,1048
1157,454,774
1158,455,1628
1159,455,152
1160,455,1515
1161,455,1548
1162,455,90
1163,455,703
1164,455,45
1165,457,1976
1166,457,208
1167,458,1976
1168,458,1794
1169,458,1446
1170,460,810
1171,460,776
1172,463,901
1173,463,1411
1174,463,56
1175,463,1251
1176,464,1744
1177,464,1484
1178,464,164
1179,464,1899
1180,464,1847
1181,464,350
1182,464,540
1183,465,411
1184,465,1751
1185,465,1166
1186,465,291
1187,465,1400
1188,465,324
1189,466,145
1190,466,1371
1191,466,254
1192,466,653
1193,466,1307
1194,466,193
1195,466,1591
1196,467,191
1197,467,458
1198,467,1010
1199,470,1762
1200,470,42
1201,472,1535
1202,472,1972
1203,472,1974
1204,472,1275
1205,472,300
1206,473,1827
1207,473,1574
1208,473,1923
1209,473,1118
1210,475,252
1211,476,1583
1212,476,1278
1213,478,1617
1214,478,58
1215,478,284
1216,478,818
1217,478,1457
1218,478,1690
1219,479,454
1220,479,169
1221,479,97
1222,479,1154
1223,479,440
1224,480,1768
1225,480,842
1226,481,762
1227,481,1401
1228,481,1093
1229,481,1738
1230,481,681
1231,481,742
1232,482,367
1233,482,1097
1234,482,578
1235,482,1507
1236,482,1762
1237,483,730
1238,485,1362
1239,485,1017
1240,485,1081
1241,485,629
1242,485,1516
1243,485,8
1244,486,387
1245,486,1938
1246,486,1106
1247,486,56
1248,486,1569
1249,487,1597
1250,489,1150
1251,490,1661
1252,490,1753
1253,490,1452
1254,490,1744
1255,490,1824
1256,490,28
1257,490,670
1258,490,1375
1259,490,606
1260,492,790
1261,492,495
1262,495,1935
1263,495,714
1264,495,1985
1265,496,1481
1266,496,720
1267,496,1768
1268,496,1854
1269,496,1681
1270,496,1338
1271,498,1717
1272,498,1375
1273,499,1296
1274,499,31
1275,499,906
1276,499,1533
